,amp0,amp1,channel,pmtx,pmty,tao0,tao1,kr_run_id,start_time
0,3506.8409481111103,53.21362715213056,0,-12.345668451390225,46.074661913988564,6.003032366685485,44.128866934824806,0,1486360800.0
1,0.0,0.0,1,-4.157328929063286,47.518487098976266,inf,inf,0,1486360800.0
2,0.0,0.0,2,4.1573289290632935,47.51848709897626,inf,inf,0,1486360800.0
3,3621.424216701509,59.751724840400904,3,12.345668451390232,46.07466191398856,6.120455237093399,44.65334231138087,0,1486360800.0
4,3455.7647516863144,56.86194891781032,4,20.158891085031385,43.230881441648194,6.080608630770487,44.01440577965995,0,1486360800.0
5,3333.578514464365,51.718535556407325,5,27.35959601394491,39.073552512584904,6.229308929015069,46.19375505723076,0,1486360800.0
6,3598.452529188617,55.74564819366662,6,33.72899346259835,33.72899346259829,6.151759875104015,45.34541274909869,0,1486360800.0
7,4036.654980346791,66.03502561666689,7,39.073552512584904,27.359596013944902,5.994745080080191,41.55480198578073,0,1486360800.0
8,3745.5833945423938,59.745856280173335,8,43.23088144164822,20.158891085031343,6.177559346344392,43.567952078168524,0,1486360800.0
9,3880.942768077373,64.31531643554993,9,46.074661913988564,12.345668451390226,6.02748786325768,41.977088288848414,0,1486360800.0
10,4268.053761267316,76.5122219267538,10,47.518487098976266,4.157328929063288,5.879095806940066,39.676288281123725,0,1486360800.0
11,3965.568531222368,67.19396866884985,11,47.51848709897626,-4.157328929063292,5.906447030141248,41.290883169487266,0,1486360800.0
12,0.0,0.0,12,46.07466191398855,-12.34566845139027,inf,inf,0,1486360800.0
13,3969.7371750831917,70.21844372363803,13,43.230881441648194,-20.158891085031378,5.916843344741215,40.909282977468735,0,1486360800.0
14,4120.617418474926,72.5532836417858,14,39.07355251258489,-27.359596013944923,5.746987260366869,39.23393680017488,0,1486360800.0
15,3969.0776854549263,68.91242907707561,15,33.72899346259832,-33.72899346259832,5.832340326881675,40.19932421079627,0,1486360800.0
16,4087.154315247305,66.36584021861181,16,27.35959601394489,-39.07355251258491,5.622308599894404,39.480098021860464,0,1486360800.0
17,4213.450972889081,66.03858599586947,17,20.158891085031346,-43.23088144164822,5.865937699826146,41.8040416273047,0,1486360800.0
18,4679.763614011706,73.55419619375918,18,12.34566845139023,-46.074661913988564,5.905006227438045,42.4374611859327,0,1486360800.0
19,4399.832659840776,73.3031255026917,19,4.157328929063292,-47.518487098976266,5.889813563191185,40.96966417747531,0,1486360800.0
20,4465.402904117635,79.44591450995827,20,-4.1573289290633095,-47.51848709897626,5.827827759478343,39.214655216099345,0,1486360800.0
21,4356.757486480491,84.63286690127582,21,-12.345668451390264,-46.07466191398856,6.031510636450476,38.99819185096708,0,1486360800.0
22,4167.80396038416,78.07724904600796,22,-20.158891085031378,-43.230881441648194,5.952290253859334,39.72424241644116,0,1486360800.0
23,4228.516714934631,78.32241564623793,23,-27.359596013944902,-39.07355251258491,5.926601060413567,39.65161381848083,0,1486360800.0
24,3790.9366391234876,64.56401960753197,24,-33.728993462598325,-33.728993462598304,5.986181711509914,41.74377148397167,0,1486360800.0
25,3972.4111533284035,66.35482606727057,25,-39.07355251258492,-27.359596013944888,5.930582163534019,41.644239292743976,0,1486360800.0
26,0.0,0.0,26,-43.23088144164821,-20.158891085031357,inf,inf,0,1486360800.0
27,0.0,0.0,27,-46.074661913988564,-12.345668451390232,inf,inf,0,1486360800.0
28,4450.414423658578,86.82100860508287,28,-47.518487098976266,-4.157328929063286,5.872708152177381,38.2194677047873,0,1486360800.0
29,4605.572338609041,79.04029965588805,29,-47.51848709897626,4.157328929063306,5.4733910581065945,37.830873903630774,0,1486360800.0
30,4932.595535279942,88.84677231797257,30,-46.07466191398856,12.345668451390251,5.417968117034001,37.10536218227971,0,1486360800.0
31,5249.058218329586,108.14896810533804,31,-43.2308814416482,20.15889108503137,5.514201870163891,35.03646538613239,0,1486360800.0
32,5032.045753517418,102.68874194224013,32,-39.073552512584904,27.359596013944902,5.495772607386055,36.10562915176442,0,1486360800.0
33,5669.501856533142,68.90953239623532,33,-33.72899346259831,33.72899346259832,6.145214192163711,44.6392856242537,0,1486360800.0
34,0.0,0.0,34,-27.359596013944895,39.07355251258491,inf,inf,0,1486360800.0
35,4218.17827958656,71.38023778272154,35,-20.158891085031357,43.23088144164821,5.896015683214032,41.064439960391155,0,1486360800.0
36,3152.1783882440445,36.12866695941888,36,-10.288057042825152,38.39555159499048,5.698319312677115,66.30003535454594,0,1486360800.0
37,3531.3115466294857,37.371603386264574,37,-2.0803542606570264,39.69552400649432,5.597536606909551,69.79768589504461,0,1486360800.0
38,3275.3837533148676,35.678844721343836,38,6.218269985349179,39.260611538656725,5.847836479270618,75.73163841096509,0,1486360800.0
39,2923.5506962957606,32.905384457268134,39,14.245125994425699,37.10982195326377,6.11499231695262,85.13421567380557,0,1486360800.0
40,2998.51380438088,33.33941915716824,40,21.64940164184732,33.33715507583061,6.142070067881449,85.87894150282662,0,1486360800.0
41,3144.102470092982,35.07759685912443,41,28.107494552165267,28.107494552165264,5.947805314064039,76.92201341263963,0,1486360800.0
42,2947.012095534053,36.18600643621054,42,33.33715507583061,21.649401641847316,6.011251124257837,72.5482076853683,0,1486360800.0
43,3105.8125805205564,37.51574786239798,43,37.10982195326378,14.245125994425663,6.041063850710947,74.14176223192331,0,1486360800.0
44,3249.221242142946,41.6893471495384,44,39.26061153865673,6.218269985349142,5.837698311818154,66.31589757324866,0,1486360800.0
45,3722.1065876038606,41.140711697923116,45,39.6955240064943,-2.080354260657028,5.630811156976072,62.719668972942856,0,1486360800.0
