,PMT Location,Top/Bottom,ADC (crate.slot.channel),0vbb ADC (crate.slot.channel),DM ADC ID,0vbb ADC ID,Amp (crate.slot.channel),Cable number sum signal,Linear Fan,x,y
68,68,top,0.4.1,1.18.1,1246,1372.0,0.2.1,,,-62.4388,4.00544
69,69,top,0.15.3,2.8.5,1161,110.0,0.7.11,,,41.6259,-48.0654
70,70,top,0.16.3,2.10.2,1227,156.0,0.8.3,,,34.6882,-44.06
71,71,top,0.17.4,2.9.3,1257,167.0,0.8.12,,,27.7506,-40.0545
72,72,top,0.15.4,2.7.6,1161,1092.0,0.7.12,,,20.8129,-36.0491
73,73,top,0.16.4,2.10.3,1227,156.0,0.8.4,,,13.8753,-32.0436
74,74,top,1.4.0,2.16.7,749,115.0,0.11.9,,,6.937639999999999,-28.0382
75,75,top,1.2.1,2.13.4,1440,117.0,0.10.9,,,-6.27423e-06,-24.0327
76,76,top,1.3.1,2.16.1,1219,115.0,0.11.1,,,-6.93765,-20.0273
77,77,top,1.7.0,2.19.5,1272,1402.0,1.1.1,,,-13.8753,-16.0218
78,78,top,1.6.2,2.17.2,1351,147.0,1.0.2,,,-20.8129,-12.0164
79,79,top,1.5.1,2.17.3,1349,147.0,1.0.9,,,-27.7506,-8.01091
80,80,top,0.3.1,1.16.4,1234,1371.0,0.1.9,,,-34.6882,-4.00546
81,81,top,0.5.1,1.17.0,1239,1328.0,0.2.9,,,-41.6259,-1.08673e-05
82,82,top,0.4.2,1.17.1,1246,1328.0,0.2.2,,,-48.5635,4.00544
83,83,top,0.3.2,1.15.7,1234,1370.0,0.1.10,,,-55.5011,8.01089
84,84,top,0.5.2,1.18.6,1239,1372.0,0.2.10,,,-62.4388,12.0163
85,85,top,0.16.5,2.10.0,1227,156.0,0.8.5,,,48.5635,-44.06
86,86,top,0.17.5,2.9.5,1257,167.0,0.8.13,,,41.6259,-40.0545
87,87,top,0.15.5,2.8.6,1161,110.0,0.7.13,,,34.6882,-36.0491
88,88,top,0.16.6,2.9.2,1227,167.0,0.8.6,,,27.7506,-32.0436
89,89,top,0.17.6,2.9.7,1257,167.0,0.8.14,,,20.8129,-28.0382
90,90,top,1.2.2,2.13.3,1440,117.0,0.10.10,,,13.8753,-24.0327
91,91,top,1.3.2,2.15.0,1219,127.0,0.11.2,,,6.937639999999999,-20.0273
92,92,top,1.4.2,2.15.6,749,127.0,0.11.10,,,-4.18282e-06,-16.0218
93,93,top,1.2.3,2.14.6,1440,876.0,0.10.11,,,-6.93765,-12.0164
94,94,top,1.5.2,2.18.1,1349,150.0,1.0.10,,,-13.8753,-8.01091
95,95,top,1.7.3,2.19.3,1272,1402.0,1.1.2,,,-20.8129,-4.00546
96,96,top,1.6.3,2.18.6,1351,150.0,1.0.3,,,-27.7506,-7.244860000000001e-06
97,97,top,0.4.3,1.18.3,1246,1372.0,0.2.3,,,-34.6882,4.00544
98,98,top,0.3.3,1.16.3,1234,1371.0,0.1.11,,,-41.6259,8.01089
99,99,top,0.5.3,1.17.3,1239,1328.0,0.2.11,,,-48.5635,12.0163
100,100,top,0.4.4,1.17.2,1246,1328.0,0.2.4,,,-55.5011,16.0218
101,101,top,0.3.4,1.16.7,1234,1371.0,0.1.12,,,-62.4388,20.0272
102,102,top,0.15.6,2.7.7,1161,1092.0,0.7.14,,,48.5635,-36.0491
103,103,top,0.16.7,2.9.1,1227,167.0,0.8.7,,,41.6259,-32.0436
104,104,top,0.17.7,2.10.1,1257,156.0,0.8.15,,,34.6882,-28.0382
105,105,top,0.15.7,2.8.7,1161,110.0,0.7.15,,,27.7506,-24.0327
106,106,top,1.3.3,2.15.2,1219,127.0,0.11.3,,,20.8129,-20.0273
107,107,top,1.4.3,2.16.6,749,115.0,0.11.11,,,13.8753,-16.0218
108,108,top,1.2.4,2.13.5,1440,117.0,0.10.12,,,6.937639999999999,-12.0164
109,109,top,1.3.4,2.16.0,1219,115.0,0.11.4,,,-2.09141e-06,-8.0109
110,110,top,1.6.4,2.18.7,1351,150.0,1.0.4,,,-6.937639999999999,-4.00545
111,111,top,1.7.2,2.19.7,1272,1402.0,1.1.3,,,-13.8753,-3.6224300000000007e-06
112,112,top,1.5.3,2.17.1,1349,147.0,1.0.11,,,-20.8129,4.00545
113,113,top,1.7.4,2.19.6,1272,1402.0,1.1.4,,,-27.7506,8.0109
114,114,top,0.5.4,1.17.4,1239,1328.0,0.2.12,,,-34.6882,12.0163
115,115,top,0.4.5,1.17.6,1246,1328.0,0.2.5,,,-41.6259,16.0218
116,116,top,0.3.5,1.15.2,1234,1370.0,0.1.13,,,-48.5635,20.0272
117,117,top,0.5.5,1.17.7,1239,1328.0,0.2.13,,,-55.5011,24.0327
118,184,top,0.12.0,2.6.6,1250,108.0,0.6.0,,,62.4388,-4.00544
119,185,top,0.13.0,2.6.5,1254,108.0,0.6.8,,,55.5012,1.44897e-05
120,186,top,0.14.0,2.8.0,1187,110.0,0.7.0,,,48.5635,4.00546
121,187,top,0.13.1,2.5.4,1254,171.0,0.6.9,,,41.6259,8.01091
122,122,top,1.4.4,2.15.5,749,127.0,0.11.12,,,27.7506,-16.0218
123,123,top,1.2.5,2.13.6,1440,117.0,0.10.13,,,20.8129,-12.0163
124,124,top,1.3.5,2.16.3,1219,115.0,0.11.5,,,13.8753,-8.0109
125,125,top,1.2.6,2.16.5,1440,115.0,0.11.13,,,6.937639999999999,-4.00545
126,126,top,1.4.5,2.13.2,749,117.0,0.10.14,,,-0.0,0.0
127,127,top,1.5.4,2.18.4,1349,150.0,1.0.12,,,-6.937639999999999,4.00545
128,128,top,1.6.5,2.18.5,1351,150.0,1.0.5,,,-13.8753,8.0109
129,129,top,1.7.5,2.19.2,1272,1402.0,1.1.5,,,-20.8129,12.0164
130,130,top,1.5.5,2.17.6,1349,147.0,1.0.13,,,-27.7506,16.0218
131,131,top,0.3.6,1.15.1,1234,1370.0,0.1.14,,,-34.6882,20.0273
132,132,top,0.5.6,1.18.7,1239,1372.0,0.2.14,,,-41.6259,24.0327
133,133,top,0.4.6,1.18.5,1246,1372.0,0.2.6,,,-48.5635,28.0382
134,134,top,0.3.7,1.16.6,1234,1371.0,0.1.15,,,-55.5011,32.0436
135,199,top,0.14.1,2.7.1,1187,1092.0,0.7.1,,,62.4388,4.00547
136,200,top,0.12.1,2.6.0,1250,108.0,0.6.1,,,55.5012,8.01092
137,155,top,0.13.2,2.6.4,1254,108.0,0.6.10,,,34.6882,-4.00544
