,PMT Location,Top/Bottom,ADC (crate.slot.channel),0vbb ADC (crate.slot.channel),DM ADC ID,0vbb ADC ID,Amp (crate.slot.channel),Cable number sum signal,Linear Fan,x,y
305,305,bottom,4.16.2,,121,,3.4.10,52.0,,20.8129,-44.06
306,306,bottom,4.17.5,,139,,3.4.3,53.0,8.0,13.8753,-40.0545
307,307,bottom,4.15.2,,107,,3.3.11,54.0,12.0,6.93763,-36.0491
308,308,bottom,3.12.0,,124,,2.5.8,55.0,3.0,-8.36565e-06,-32.0436
309,309,bottom,3.11.1,,106,,2.5.0,56.0,3.0,-6.93765,-28.0382
310,310,bottom,3.14.0,,160,,2.6.0,57.0,4.0,-13.8753,-24.0327
311,311,bottom,3.12.1,,124,,2.5.9,58.0,3.0,-20.8129,-20.0273
312,312,bottom,3.11.0,,106,,2.5.1,59.0,3.0,-27.7506,-16.0218
313,313,bottom,3.12.3,,124,,2.5.10,60.0,3.0,-34.6882,-12.0164
314,314,bottom,3.10.5,,144,,2.4.6,61.0,2.0,-41.6259,-8.01091
315,315,bottom,3.8.7,,95,,2.3.15,62.0,1.0,-48.5635,-4.00546
316,316,bottom,3.10.6,,144,,2.4.7,63.0,2.0,-55.5012,-1.44897e-05
317,317,bottom,3.9.7,,80,,2.4.15,64.0,2.0,-62.4388,4.00544
318,318,bottom,4.16.3,,121,,3.4.11,65.0,,41.6259,-48.0654
319,319,bottom,4.17.3,,139,,3.4.4,66.0,8.0,34.6882,-44.06
320,320,bottom,4.15.4,,107,,3.3.12,67.0,12.0,27.7506,-40.0545
321,321,bottom,4.16.5,,121,,3.4.12,68.0,,20.8129,-36.0491
322,322,bottom,4.17.6,,139,,3.4.5,69.0,8.0,13.8753,-32.0436
323,323,bottom,3.14.1,,160,,2.6.1,70.0,4.0,6.937639999999999,-28.0382
324,324,bottom,3.11.3,,106,,2.5.2,71.0,3.0,-6.27423e-06,-24.0327
325,325,bottom,3.12.2,,124,,2.5.11,72.0,3.0,-6.93765,-20.0273
326,326,bottom,3.11.2,,106,,2.5.3,73.0,3.0,-13.8753,-16.0218
327,327,bottom,3.12.4,,124,,2.5.12,74.0,3.0,-20.8129,-12.0164
328,328,bottom,3.14.2,,160,,2.6.2,75.0,4.0,-27.7506,-8.01091
329,329,bottom,3.11.4,,106,,2.5.4,76.0,3.0,-34.6882,-4.00546
330,330,bottom,3.13.1,,143,,2.6.8,77.0,4.0,-41.6259,-1.08673e-05
331,331,bottom,3.16.0,,140,,2.7.0,78.0,5.0,-48.5635,4.00544
332,332,bottom,3.15.0,,165,,2.7.8,79.0,5.0,-55.5011,8.01089
333,333,bottom,3.13.0,,143,,2.6.9,80.0,4.0,-62.4388,12.0163
334,334,bottom,4.15.6,,107,,3.3.13,81.0,12.0,41.6259,-40.0545
335,335,bottom,4.16.4,,121,,3.4.13,82.0,,34.6882,-36.0491
336,336,bottom,4.17.4,,139,,3.4.6,83.0,8.0,27.7506,-32.0436
337,337,bottom,4.15.7,,107,,3.3.14,84.0,12.0,20.8129,-28.0382
338,338,bottom,4.13.1,,1398,,3.2.0,85.0,11.0,13.8753,-24.0327
339,339,bottom,3.12.5,,124,,2.5.13,86.0,3.0,6.937639999999999,-20.0273
340,340,bottom,3.11.6,,106,,2.5.5,87.0,3.0,-4.18282e-06,-16.0218
341,341,bottom,3.14.4,,160,,2.6.3,88.0,4.0,-6.93765,-12.0164
342,342,bottom,3.14.3,,160,,2.6.4,89.0,4.0,-13.8753,-8.01091
343,343,bottom,3.11.7,,106,,2.5.6,90.0,3.0,-20.8129,-4.00546
344,344,bottom,3.14.5,,160,,2.6.5,91.0,4.0,-27.7506,-7.244860000000001e-06
345,345,bottom,3.16.1,,140,,2.7.1,92.0,5.0,-34.6882,4.00544
346,346,bottom,3.15.1,,165,,2.7.9,93.0,5.0,-41.6259,8.01089
347,347,bottom,3.13.3,,143,,2.6.10,94.0,4.0,-48.5635,12.0163
348,348,bottom,3.16.3,,140,,2.7.2,95.0,5.0,-55.5011,16.0218
349,349,bottom,4.16.6,,121,,3.4.14,96.0,,48.5635,-36.0491
350,350,bottom,4.17.7,,139,,3.4.7,97.0,8.0,41.6259,-32.0436
351,351,bottom,4.15.5,,107,,3.3.15,98.0,12.0,34.6882,-28.0382
352,352,bottom,4.16.7,,121,,3.4.15,99.0,,27.7506,-24.0327
353,353,bottom,4.12.0,,1400,,3.2.8,115.0,11.0,20.8129,-20.0273
354,354,bottom,4.14.1,,1391,,3.3.0,101.0,12.0,13.8753,-16.0218
355,355,bottom,3.14.6,,160,,2.6.6,102.0,4.0,6.937639999999999,-12.0164
356,356,bottom,3.12.6,,124,,2.5.14,103.0,3.0,-2.09141e-06,-8.0109
357,357,bottom,3.11.5,,106,,2.5.7,104.0,3.0,-6.937639999999999,-4.00545
358,358,bottom,3.14.7,,160,,2.6.7,105.0,4.0,-13.8753,-3.6224300000000007e-06
359,359,bottom,3.12.7,,124,,2.5.15,106.0,3.0,-20.8129,4.00545
360,360,bottom,3.15.2,,165,,2.7.10,107.0,5.0,-27.7506,8.0109
361,361,bottom,3.13.2,,143,,2.6.11,108.0,4.0,-34.6882,12.0163
362,362,bottom,3.16.2,,140,,2.7.3,109.0,5.0,-41.6259,16.0218
363,363,bottom,3.15.3,,165,,2.7.11,110.0,5.0,-48.5635,20.0272
364,364,bottom,3.13.4,,143,,2.6.12,111.0,4.0,-55.5011,24.0327
365,365,bottom,4.8.0,,102,,3.0.8,112.0,9.0,55.5011,-32.0436
366,366,bottom,4.10.1,,1251,,3.1.0,113.0,10.0,48.5635,-28.0382
367,367,bottom,4.11.0,,1399,,3.1.8,114.0,10.0,41.6259,-24.0327
368,368,bottom,4.12.1,,1400,,3.2.9,100.0,11.0,34.6882,-20.0273
369,369,bottom,4.13.0,,1398,,3.2.1,116.0,11.0,27.7506,-16.0218
370,370,bottom,4.14.0,,1391,,3.3.1,117.0,12.0,20.8129,-12.0163
371,371,bottom,4.13.3,,1398,,3.2.2,118.0,11.0,13.8753,-8.0109
372,372,bottom,4.3.0,,1404,,2.9.8,119.0,0.0,6.937639999999999,-4.00545
373,373,bottom,4.4.0,,1409,,2.10.0,120.0,7.0,-0.0,0.0
374,374,bottom,4.5.0,,1407,,2.10.8,121.0,7.0,-6.937639999999999,4.00545
375,375,bottom,4.3.1,,1404,,2.9.9,122.0,,-13.8753,8.0109
376,376,bottom,4.4.1,,1409,,2.10.1,123.0,7.0,-20.8129,12.0164
377,377,bottom,3.16.4,,140,,2.7.4,124.0,5.0,-27.7506,16.0218
378,378,bottom,3.15.4,,165,,2.7.12,125.0,5.0,-34.6882,20.0273
379,379,bottom,3.13.5,,143,,2.6.13,126.0,4.0,-41.6259,24.0327
380,380,bottom,3.16.5,,140,,2.7.5,127.0,5.0,-48.5635,28.0382
381,381,bottom,3.15.5,,165,,2.7.13,128.0,5.0,-55.5011,32.0436
382,382,bottom,4.11.1,,1399,,3.1.9,129.0,10.0,55.5011,-24.0327
383,383,bottom,4.8.1,,102,,3.0.9,130.0,9.0,48.5635,-20.0272
384,384,bottom,4.10.0,,1251,,3.1.1,131.0,10.0,41.6259,-16.0218
385,385,bottom,4.14.4,,1391,,3.3.2,132.0,12.0,34.6882,-12.0163
386,386,bottom,4.12.2,,1400,,3.2.10,133.0,11.0,27.7506,-8.0109
387,387,bottom,4.13.2,,1398,,3.2.3,134.0,11.0,20.8129,-4.00545
388,388,bottom,4.14.2,,1391,,3.3.3,135.0,12.0,13.8753,3.6224300000000007e-06
389,389,bottom,4.5.1,,1407,,2.10.9,136.0,7.0,6.937639999999999,4.00545
390,390,bottom,4.3.2,,1404,,2.9.10,137.0,0.0,2.09141e-06,8.0109
391,391,bottom,4.4.2,,1409,,2.10.2,138.0,7.0,-6.937639999999999,12.0164
392,392,bottom,4.5.2,,1407,,2.10.10,139.0,7.0,-13.8753,16.0218
393,393,bottom,4.3.3,,1404,,2.9.11,140.0,,-20.8129,20.0273
394,394,bottom,3.13.6,,143,,2.6.14,141.0,4.0,-27.7506,24.0327
395,395,bottom,3.16.6,,140,,2.7.6,142.0,5.0,-34.6882,28.0382
396,396,bottom,3.15.6,,165,,2.7.14,143.0,5.0,-41.6259,32.0436
397,397,bottom,3.13.7,,143,,2.6.15,144.0,4.0,-48.5635,36.0491
398,398,bottom,4.8.3,,102,,3.0.10,145.0,9.0,55.5011,-16.0218
399,399,bottom,4.10.2,,1251,,3.1.2,146.0,10.0,48.5635,-12.0163
400,400,bottom,4.11.2,,1399,,3.1.10,147.0,10.0,41.6259,-8.01089
401,401,bottom,4.12.3,,1400,,3.2.11,148.0,11.0,34.6882,-4.00544
402,402,bottom,4.14.3,,1391,,3.3.4,149.0,12.0,27.7506,7.244860000000001e-06
403,403,bottom,4.12.4,,1400,,3.2.12,150.0,11.0,20.8129,4.00546
404,404,bottom,4.13.4,,1398,,3.2.4,151.0,11.0,13.8753,8.01091
405,405,bottom,4.4.3,,1409,,2.10.3,152.0,7.0,6.93765,12.0164
406,406,bottom,4.5.3,,1407,,2.10.11,153.0,7.0,4.18282e-06,16.0218
407,407,bottom,4.3.4,,1404,,2.9.12,154.0,0.0,-6.937639999999999,20.0273
408,408,bottom,4.4.4,,1409,,2.10.4,155.0,7.0,-13.8753,24.0327
409,409,bottom,4.5.4,,1407,,2.10.12,156.0,7.0,-20.8129,28.0382
410,410,bottom,4.1.0,,1406,,2.8.0,157.0,6.0,-27.7506,32.0436
411,411,bottom,3.15.7,,165,,2.7.15,158.0,5.0,-34.6882,36.0491
412,412,bottom,3.16.7,,140,,2.7.7,159.0,5.0,-41.6259,40.0545
413,413,bottom,4.10.3,,1251,,3.1.3,160.0,10.0,62.4388,-12.0163
414,414,bottom,4.11.3,,1399,,3.1.11,161.0,10.0,55.5011,-8.01089
415,415,bottom,4.8.2,,102,,3.0.11,162.0,9.0,48.5635,-4.00544
416,416,bottom,4.10.4,,1251,,3.1.4,163.0,10.0,41.6259,1.08673e-05
417,417,bottom,4.13.5,,1398,,3.2.5,164.0,11.0,34.6882,4.00546
418,418,bottom,4.12.5,,1400,,3.2.13,165.0,11.0,27.7506,8.01091
419,419,bottom,4.14.5,,1391,,3.3.5,166.0,12.0,20.8129,12.0164
420,420,bottom,4.5.5,,1407,,2.10.13,167.0,7.0,13.8753,16.0218
421,421,bottom,4.3.5,,1404,,2.9.13,168.0,0.0,6.93765,20.0273
422,422,bottom,4.4.5,,1409,,2.10.5,169.0,7.0,6.27423e-06,24.0327
423,423,bottom,4.5.6,,1407,,2.10.14,170.0,7.0,-6.937639999999999,28.0382
424,424,bottom,4.3.6,,1404,,2.9.14,171.0,0.0,-13.8753,32.0436
425,425,bottom,4.0.0,,1401,,2.8.8,172.0,6.0,-20.8129,36.0491
426,426,bottom,4.2.0,,1410,,2.9.0,173.0,0.0,-27.7506,40.0545
427,427,bottom,4.1.1,,1406,,2.8.1,174.0,6.0,-34.6882,44.06
428,428,bottom,4.0.1,,1401,,2.8.9,175.0,6.0,-41.6259,48.0654
429,429,bottom,4.8.4,,102,,3.0.12,176.0,9.0,62.4388,-4.00544
430,430,bottom,4.11.4,,1399,,3.1.12,177.0,10.0,55.5012,1.44897e-05
431,431,bottom,4.10.5,,1251,,3.1.5,178.0,10.0,48.5635,4.00546
432,432,bottom,4.8.5,,102,,3.0.13,179.0,9.0,41.6259,8.01091
433,433,bottom,4.14.6,,1391,,3.3.6,180.0,12.0,34.6882,12.0164
434,434,bottom,4.13.6,,1398,,3.2.6,181.0,11.0,27.7506,16.0218
435,435,bottom,4.12.6,,1400,,3.2.14,182.0,11.0,20.8129,20.0273
436,436,bottom,4.4.6,,1409,,2.10.6,183.0,7.0,13.8753,24.0327
437,437,bottom,4.5.7,,1407,,2.10.15,184.0,7.0,6.93765,28.0382
438,438,bottom,4.3.7,,1404,,2.9.15,185.0,0.0,8.36565e-06,32.0436
439,439,bottom,4.4.7,,1409,,2.10.7,186.0,7.0,-6.93763,36.0491
440,440,bottom,4.2.1,,1410,,2.9.1,187.0,,-13.8753,40.0545
441,441,bottom,4.1.2,,1406,,2.8.2,188.0,6.0,-20.8129,44.06
442,442,bottom,4.0.2,,1401,,2.8.10,189.0,6.0,-27.7506,48.0654
443,443,bottom,4.2.2,,1410,,2.9.2,190.0,,-34.6882,52.0709
444,444,bottom,4.11.5,,1399,,3.1.13,191.0,10.0,62.4388,4.00547
445,445,bottom,4.8.6,,102,,3.0.14,192.0,9.0,55.5012,8.01092
446,446,bottom,4.11.6,,1399,,3.1.14,193.0,10.0,48.5635,12.0164
447,447,bottom,4.10.6,,1251,,3.1.6,194.0,10.0,41.6259,16.0218
448,448,bottom,4.13.7,,1398,,3.2.7,195.0,11.0,34.6882,20.0273
449,449,bottom,4.12.7,,1400,,3.2.15,196.0,11.0,27.7506,24.0327
450,450,bottom,4.14.7,,1391,,3.3.7,197.0,12.0,20.8129,28.0382
451,451,bottom,4.6.0,,1408,,2.11.0,198.0,8.0,13.8753,32.0436
452,452,bottom,4.7.0,,1405,,2.11.8,199.0,,6.93765,36.0491
453,453,bottom,4.2.3,,1410,,2.9.3,200.0,0.0,1.04571e-05,40.0545
454,454,bottom,4.1.3,,1406,,2.8.3,201.0,6.0,-6.93763,44.06
455,455,bottom,4.0.3,,1401,,2.8.11,202.0,6.0,-13.8753,48.0654
456,456,bottom,4.2.4,,1410,,2.9.4,203.0,,-20.8129,52.0709
457,457,bottom,4.1.4,,1406,,2.8.4,204.0,6.0,-27.7506,56.0763
458,458,bottom,4.10.7,,1251,,3.1.7,205.0,10.0,62.4388,12.0164
459,459,bottom,4.11.7,,1399,,3.1.15,206.0,10.0,55.5012,16.0218
460,460,bottom,4.8.7,,102,,3.0.15,207.0,9.0,48.5635,20.0273
461,461,bottom,4.7.1,,1405,,2.11.9,208.0,,41.6259,24.0327
462,462,bottom,4.9.0,,1229,,3.0.0,209.0,9.0,34.6882,28.0382
463,463,bottom,4.6.1,,1408,,2.11.1,210.0,8.0,27.7506,32.0436
464,464,bottom,4.7.2,,1405,,2.11.10,211.0,,20.8129,36.0491
465,465,bottom,4.9.1,,1229,,3.0.1,212.0,9.0,13.8753,40.0545
466,466,bottom,4.6.2,,1408,,2.11.2,213.0,8.0,6.93766,44.06
467,467,bottom,4.0.4,,1401,,2.8.12,214.0,6.0,1.2548499999999999e-05,48.0654
468,468,bottom,4.2.5,,1410,,2.9.5,215.0,,-6.93763,52.0709
469,469,bottom,4.1.5,,1406,,2.8.5,216.0,6.0,-13.8753,56.0763
470,470,bottom,4.0.5,,1401,,2.8.13,217.0,6.0,-20.8129,60.0818
471,471,bottom,1.12.5,,1403,,1.3.15,218.0,,55.5012,24.0327
472,472,bottom,4.9.2,,1229,,3.0.2,219.0,9.0,48.5635,28.0382
473,473,bottom,4.6.3,,1408,,2.11.3,220.0,8.0,41.6259,32.0436
474,474,bottom,4.7.3,,1405,,2.11.11,221.0,,34.6882,36.0491
475,475,bottom,4.9.3,,1229,,3.0.3,222.0,9.0,27.7506,40.0545
476,476,bottom,4.6.4,,1408,,2.11.4,223.0,8.0,20.8129,44.06
477,477,bottom,4.7.4,,1405,,2.11.12,224.0,,13.8753,48.0654
478,478,bottom,4.2.6,,1410,,2.9.6,225.0,,6.93766,52.0709
479,479,bottom,4.1.6,,1406,,2.8.6,226.0,6.0,1.46399e-05,56.0763
480,480,bottom,4.0.6,,1401,,2.8.14,227.0,6.0,-6.93763,60.0818
481,481,bottom,4.7.5,,1405,,2.11.13,228.0,,55.5012,32.0436
482,482,bottom,4.9.4,,1229,,3.0.4,229.0,9.0,48.5635,36.0491
483,483,bottom,4.6.5,,1408,,2.11.5,230.0,8.0,41.6259,40.0545
484,484,bottom,4.7.6,,1405,,2.11.14,231.0,,34.6882,44.06
485,485,bottom,4.9.5,,1229,,3.0.5,232.0,9.0,27.7506,48.0654
486,486,bottom,4.6.6,,1408,,2.11.6,233.0,8.0,20.8129,52.0709
487,487,bottom,4.1.7,,1406,,2.8.7,234.0,6.0,13.8753,56.0763
488,488,bottom,4.0.7,,1401,,2.8.15,235.0,6.0,6.93766,60.0818
489,489,bottom,4.2.7,,1410,,2.9.7,236.0,,1.67313e-05,64.0872
490,490,bottom,4.9.6,,1229,,3.0.6,237.0,9.0,41.6259,48.0654
491,491,bottom,4.6.7,,1408,,2.11.7,238.0,8.0,34.6882,52.0709
492,492,bottom,4.7.7,,1405,,2.11.15,239.0,,27.7506,56.0763
493,493,bottom,4.9.7,,1229,,3.0.7,240.0,9.0,20.8129,60.0818
